dataset,rep_a,rep_b,cka_score
higgs,amplitude,raw_linear,0.713918
higgs,raw_linear,amplitude,0.713918
higgs,amplitude,rff,0.575645
higgs,rff,amplitude,0.575645
higgs,amplitude,pca,0.713945
higgs,pca,amplitude,0.713945
higgs,amplitude,poly2,0.074178
higgs,poly2,amplitude,0.074178
higgs,angle,basis,0.684516
higgs,basis,angle,0.684516
higgs,angle,raw_linear,0.635656
higgs,raw_linear,angle,0.635656
higgs,angle,rff,0.506401
higgs,rff,angle,0.506401
higgs,angle,pca,0.635686
higgs,pca,angle,0.635686
higgs,angle,poly2,0.066822
higgs,poly2,angle,0.066822
higgs,basis,raw_linear,0.420672
higgs,raw_linear,basis,0.420672
higgs,basis,rff,0.340732
higgs,rff,basis,0.340732
higgs,basis,pca,0.420628
higgs,pca,basis,0.420628
higgs,basis,poly2,0.067117
higgs,poly2,basis,0.067117
higgs,raw_linear,rff,0.569612
higgs,rff,raw_linear,0.569612
higgs,raw_linear,pca,0.999941
higgs,pca,raw_linear,0.999941
higgs,raw_linear,poly2,0.380923
higgs,poly2,raw_linear,0.380923
higgs,rff,pca,0.569536
higgs,pca,rff,0.569536
higgs,rff,poly2,0.135126
higgs,poly2,rff,0.135126
higgs,pca,poly2,0.380827
higgs,poly2,pca,0.380827
