dataset,method,method_type,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,feature_dim_mean,feature_dim_std,feature_dim_ci95,encoding_s_mean,encoding_s_std,encoding_s_ci95,training_s_mean,training_s_std,training_s_ci95,total_s_mean,total_s_std,total_s_ci95,overhead_ratio_mean,overhead_ratio_std,overhead_ratio_ci95,encoding_peak_mb_mean,encoding_peak_mb_std,encoding_peak_mb_ci95,training_peak_mb_mean,training_peak_mb_std,training_peak_mb_ci95
cifar10,torch_mlp,baseline_torch,5,0.4321,0.0139705,0.01734639,0.432434,0.01368265,0.01698898,3072,0.0,0.0,,,,,,,1.7193202,0.08168125,0.10141902,,,,,,,160.664064,0.0,0.0
higgs,amplitude,qie_sklearn,5,0.64275,0.00107259,0.00133178,0.6369866,0.00104078,0.00129227,32,0.0,0.0,0.1031242,0.0806659,0.10015832,5.4064056,0.41696207,0.51771838,5.5095294,0.42288996,0.5250787,0.01862848,0.01413329,0.01754851,284.802552,0.0,0.0,13.2575214,0.00252759,0.00313836
higgs,angle,qie_sklearn,5,0.65796,0.00076935,0.00095526,0.6497132,0.00080004,0.00099337,56,0.0,0.0,1.3161404,1.36538584,1.69532289,59.627274,6.13351495,7.61564097,60.9434148,7.1172334,8.83706891,0.02027713,0.01924973,0.02390131,627.203024,0.0,0.0,13.2558068,0.00272831,0.00338759
higgs,basis,qie_sklearn,5,0.66942,0.00174154,0.00216237,0.6652304,0.00213262,0.00264796,224,0.0,0.0,1.6608292,0.70213595,0.87180276,150.3458296,7.16170151,8.89228247,152.0066588,7.54925244,9.37348269,0.01084016,0.00437612,0.00543358,940.8023828,3.944e-05,4.897e-05,730.0971808,0.00191909,0.00238282
higgs,amplitude_torch,qie_torch,5,0.633808,0.00106215,0.00131882,0.6274396,0.00197411,0.00245114,32,0.0,0.0,,,,,,,48.9983574,0.78878589,0.97939113,,,,,,,107.511808,0.0,0.0
higgs,angle_torch,qie_torch,5,0.645546,0.0006193,0.00076895,0.6362816,0.00412211,0.00511819,56,0.0,0.0,,,,,,,48.273357,1.24620366,1.54734109,,,,,,,156.101632,0.0,0.0
higgs,basis_torch,qie_torch,5,0.66788,0.00242329,0.00300887,0.6649952,0.00177849,0.00220825,224,0.0,0.0,,,,,,,47.4848128,1.21214339,1.50505036,,,,,,,492.406784,0.0,0.0
higgs,raw_linear,baseline_sklearn,5,0.641384,0.00083215,0.00103324,0.6337164,0.00083103,0.00103184,28,0.0,0.0,0.0634316,0.00241058,0.00299308,1.76484,0.13292795,0.16504916,1.8282718,0.13229803,0.16426703,0.03485831,0.00311239,0.00386448,100.9383352,2.415e-05,2.999e-05,102.835819,0.0004812,0.00059748
higgs,rff,baseline_sklearn,5,0.58767,0.00314549,0.00390558,0.5763922,0.00410816,0.00510087,56,0.0,0.0,0.2573012,0.04566996,0.05670582,1.4108146,0.15524094,0.19275395,1.6681162,0.16263196,0.20193098,0.15483021,0.02824049,0.03506463,134.4507996,0.00023019,0.00028581,192.443736,0.00045782,0.00056845
higgs,poly2,baseline_sklearn,5,0.67868,0.00095336,0.00118374,0.6725502,0.00090909,0.00112877,434,0.0,0.0,12.583327,5.30466351,6.58650269,193.1434062,22.10857515,27.45097584,205.7267332,27.11533817,33.66759225,0.05916815,0.0211671,0.02628199,2256.9604084,0.00011831,0.0001469,1402.1586666,0.0041101,0.00510328
