dataset,seed,method,method_type,feature_dim,accuracy,f1_macro,encoding_s,training_s,total_s,overhead_ratio,encoding_peak_mb,training_peak_mb
dry_bean,1337,basis,qie_sklearn,128,0.913331,0.927015,0.006285,11.538133,11.544417,0.0005444190035754946,14.635538,12.83907
dry_bean,2026,basis,qie_sklearn,128,0.920676,0.931471,0.006581,11.984487,11.991068,0.0005488251755389928,14.635538,12.839998
dry_bean,7,amplitude_torch,qie_torch,16,0.260375,0.059024,,,1.452365,,,19.163648
dry_bean,42,amplitude_torch,qie_torch,16,0.260375,0.059024,,,1.447329,,,19.163648
dry_bean,99,amplitude_torch,qie_torch,16,0.260375,0.059024,,,1.536419,,,19.163648
dry_bean,1337,amplitude_torch,qie_torch,16,0.260375,0.059024,,,1.449568,,,19.163648
dry_bean,2026,amplitude_torch,qie_torch,16,0.260375,0.059024,,,1.571256,,,19.163648
dry_bean,7,angle_torch,qie_torch,32,0.916269,0.928723,,,1.384436,,,20.05248
dry_bean,42,angle_torch,qie_torch,32,0.914433,0.927494,,,1.416073,,,20.05248
dry_bean,99,angle_torch,qie_torch,32,0.915534,0.928318,,,1.512045,,,20.05248
dry_bean,1337,angle_torch,qie_torch,32,0.906721,0.921198,,,1.345953,,,20.05248
dry_bean,2026,angle_torch,qie_torch,32,0.919207,0.932825,,,1.375276,,,20.05248
dry_bean,7,basis_torch,qie_torch,128,0.908557,0.918686,,,1.35067,,,25.38496
dry_bean,42,basis_torch,qie_torch,128,0.911495,0.923639,,,1.31123,,,25.38496
dry_bean,99,basis_torch,qie_torch,128,0.907822,0.918487,,,1.427569,,,25.38496
dry_bean,1337,basis_torch,qie_torch,128,0.907822,0.921853,,,1.30445,,,25.38496
dry_bean,2026,basis_torch,qie_torch,128,0.912229,0.923221,,,1.367086,,,25.38496
dry_bean,7,raw_linear,baseline_sklearn,16,0.923981,0.936339,0.002017,0.143802,0.145819,0.013832216652150954,1.811446,1.461793
dry_bean,42,raw_linear,baseline_sklearn,16,0.920676,0.932897,0.002,0.104231,0.106231,0.01882689610377385,1.811392,1.459892
dry_bean,99,raw_linear,baseline_sklearn,16,0.926184,0.937442,0.002052,0.091015,0.093067,0.022048631630975535,1.811446,1.458722
dry_bean,1337,raw_linear,baseline_sklearn,16,0.912596,0.92629,0.001861,0.12384,0.125701,0.014804973707448628,1.811014,1.458266
dry_bean,2026,raw_linear,baseline_sklearn,16,0.925083,0.936852,0.001843,0.072292,0.074134,0.02486038794615156,1.811284,1.459027
dry_bean,7,rff,baseline_sklearn,32,0.921777,0.933774,0.015677,0.201611,0.217288,0.07214848496005301,4.261961,1.489584
dry_bean,42,rff,baseline_sklearn,32,0.914433,0.924045,0.009556,0.191163,0.200719,0.047608846197918483,4.261606,1.491152
dry_bean,99,rff,baseline_sklearn,32,0.924348,0.93544,0.010007,0.180016,0.190023,0.052662046173357964,4.261885,1.490283
dry_bean,1337,rff,baseline_sklearn,32,0.902314,0.914036,0.063221,0.127263,0.190484,0.3318966422376683,4.261237,1.489428
dry_bean,2026,rff,baseline_sklearn,32,0.914433,0.922839,0.056386,0.203278,0.259664,0.21714985519748597,4.261903,1.489948
dry_bean,7,poly2,baseline_sklearn,152,0.92545,0.937689,0.081948,10.195714,10.277662,0.007973408738290867,28.216356,1.74379
dry_bean,42,poly2,baseline_sklearn,152,0.921777,0.93349,0.082831,10.590703,10.673534,0.007760410001036208,28.21641,1.738644
dry_bean,99,poly2,baseline_sklearn,152,0.92949,0.94039,0.085762,10.689674,10.775436,0.007959028293611508,28.216356,1.737243
dry_bean,1337,poly2,baseline_sklearn,152,0.918105,0.93105,0.082055,12.800323,12.882378,0.00636955381995467,28.216086,1.736251
dry_bean,2026,poly2,baseline_sklearn,152,0.928755,0.940235,0.020039,11.070953,11.090992,0.0018067815755344518,28.21641,1.738747
dry_bean,7,poly3,baseline_sklearn,968,0.926184,0.93789,0.167131,216.243245,216.410376,0.0007722873694374062,179.30477,3.612975
dry_bean,42,poly3,baseline_sklearn,968,0.923981,0.935945,0.12782,246.173847,246.301667,0.0005189571047442403,179.304662,3.613398
