dataset,method,method_type,encoding_us_mean,training_ms_mean,total_ms_mean,overhead_ratio_mean,enc_train_ratio_mean,encoding_peak_mb_mean,training_peak_mb_mean
fashion_mnist,raw_linear,classical,27901.8,230277.979,230305.88,0.000133,0.000121,56.6294,54.1875
fashion_mnist,rff,classical,109994.8,4368.251,4478.246,0.02518,0.025181,56.6346,18.6191
fashion_mnist,pca,classical,4104348.0,23274.082,27378.431,0.147378,0.176348,12.3067,18.618
cifar10,amplitude,qie,115089.2,36310.893,36425.982,0.003467,0.00317,655.4265,14.5737
cifar10,angle,qie,5477060.0,554043.108,559520.168,0.008031,0.009886,1376.3078,21.0548
cifar10,basis,qie,13961618.4,79474.798,93436.417,0.128123,0.175674,2064.4595,1652.8849
cifar10,raw_linear,classical,117216.0,497705.368,497822.584,0.000256,0.000236,221.5832,208.1111
cifar10,rff,classical,289710.6,4121.314,4411.024,0.065856,0.070296,221.5884,18.6203
cifar10,pca,classical,5195982.8,12403.553,17599.536,0.282642,0.418911,127.4754,18.6201
higgs,amplitude,qie,103124.2,5406.406,5509.529,0.018628,0.019074,284.8026,13.2575
higgs,angle,qie,1316140.4,59627.274,60943.415,0.020277,0.022073,627.203,13.2558
higgs,basis,qie,1660829.2,150345.83,152006.659,0.01084,0.011047,940.8024,730.0972
higgs,raw_linear,classical,63431.6,1764.84,1828.272,0.034858,0.035942,100.9383,102.8358
higgs,rff,classical,257301.2,1410.815,1668.116,0.15483,0.182378,134.4508,192.4437
higgs,poly2,classical,12583327.0,193143.406,205726.733,0.059168,0.06515,2256.9604,1402.1587
higgs,pca,classical,41741.2,2163.769,2205.511,0.018866,0.019291,54.0437,99.634
high_dim_parity,amplitude,qie,2724.2,3.976,6.7,0.406456,0.685195,4.6746,0.3135
high_dim_parity,angle,qie,7912.8,5.845,13.758,0.577029,1.35368,8.9629,0.3068
high_dim_parity,basis,qie,5704.0,1072.6,1078.304,0.005551,0.005318,13.4422,10.5812
high_dim_parity,raw_linear,classical,1715.2,3.331,5.046,0.339824,0.51492,1.6692,0.296
high_dim_parity,rff,classical,9202.2,5.242,14.444,0.637943,1.755542,3.923,0.3025
high_dim_parity,poly2,classical,60547.8,66.331,126.879,0.609476,0.912808,31.3667,0.359
high_dim_parity,poly3,classical,229561.0,3781.818,4011.379,0.057551,0.060701,240.9545,0.8161
high_dim_parity,pca,classical,1821.8,37.139,38.961,0.194043,0.049053,1.5932,0.2951
high_rank_noise,amplitude,qie,39131.4,225.568,264.7,0.151937,0.173479,21.0266,0.2495
high_rank_noise,angle,qie,214309.0,441.41,655.719,0.339308,0.485511,44.8058,0.2836
high_rank_noise,basis,qie,184202.8,2024.338,2208.541,0.09257,0.090994,67.2065,51.8539
high_rank_noise,raw_linear,classical,25498.8,68.554,94.052,0.273118,0.371953,8.0735,0.2193
high_rank_noise,rff,classical,456875.0,468.303,925.178,0.499246,0.975597,19.9201,0.2766
high_rank_noise,poly2,classical,55287828.8,2981.01,58268.839,0.925167,18.546679,1383.0086,6.7841
high_rank_noise,pca,classical,923143.0,774.536,1697.679,0.577737,1.191866,8.3557,0.2167
covertype,amplitude,qie,11660.0,12956.267,12967.927,0.000905,0.0009,55.3624,5.3064
covertype,angle,qie,74230.4,45831.027,45905.257,0.001589,0.00162,120.9624,5.3827
covertype,basis,qie,124481.8,52218.785,52343.267,0.00222,0.002384,181.4431,144.2885
covertype,raw_linear,classical,11341.6,14820.742,14832.084,0.00077,0.000765,21.6701,5.2663
covertype,rff,classical,172843.2,9730.403,9903.247,0.018205,0.017763,51.9642,5.3738
covertype,poly2,classical,5217656.8,927482.885,932700.542,0.005319,0.005626,1046.7249,8.424
covertype,pca,classical,84632.8,72228.015,72312.648,0.001157,0.001172,21.2941,5.2586
